GDP/breakdown at constant 2005 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,Final consumption expenditure,4564542000,4378772008,4267301969,4718449873,5047527927,5190783920,5233225023,5663142064,5822363011,5681429725,5496820267,5594092373,5713028610,5997746639,6103186392,6121124388,6304676519,5656765596,5189110268,4822817710,4672128221,4338718393,4588911785,3578464597,2886936301,4486069073,4398888664,4314319704,4253654710,4175801239,4067503819,3858304048,5894684388,7284105490,7169433210,8328424128,8806973245,9857975672,10082379385,10832251434,12444693612,13652918964,15936620453,16170083487,16773805149
Afghanistan,Household consumption expenditure (including Non-profit institutions serving households),4313211511,4124316754,4003630640,4439144847,4759225409,4811702880,4837928497,5236722641,5367908447,5237975557,5067775424,5157454952,5267108319,5529602696,5626811938,5643352502,5812574131,5215234165,4784091685,4446371140,4307449410,4000100941,4230672226,3299163692,2661698471,4135577584,4055762501,3978116691,3919928101,3851654316,3751458020,3549469752,5451810773,6716488021,6526145373,7664068791,7955015133,8833152744,9041919472,9560359312,11097655689,12059479402,14249311954,14520355255,15083678067
Afghanistan,General government final consumption expenditure,232512318,238631063,250868554,263106044,269224790,373243458,391599694,422193420,452787146,441827095,427470648,435035397,444284124,466426317,474626730,476018576,490297122,439911819,403531095,375067039,363341442,337369287,356935376,278274427,224394874,349263335,341829435,334876732,332794578,322652698,314641296,309010962,438311257,565376110,655198770,664355337,876891153,1064610556,1079869846,1339936966,1406159656,1677593259,1756728687,1709770561,1748874646
Afghanistan,Gross capital formation,689789671,735775649,643803693,643803693,827747513,956508344,1425565320,1342790560,1554326059,1453271788,1387378567,1445336502,1459766804,1531962476,1565069341,1565728343,1613258292,1448336478,1327910458,1234355572,1195878243,1056051664,1063844821,791310787,609755889,906139174,850713663,799703849,756462669,713141209,667650039,701341392,961277681,1080954982,1329355765,1444097005,1442449684,1520829286,1502196692,2197613159,1975763831,1833598306,1998207047,1847108797,1696803962
Afghanistan,Gross fixed capital formation (including Acquisitions less disposals of valuables),689789671,735775649,643803693,643803693,827747513,956508344,1425565320,1342790560,1554326059,1453271788,1387378567,1445336502,1459766804,1531962476,1565069341,1565728343,1613258292,1448336478,1327910458,1234355572,1195878243,1056051664,1063844821,791310787,609755889,906139174,850713663,799703849,756462669,713141209,667650039,701341392,961277681,1080954982,1329355765,1444097005,1442449684,1520829286,1502196692,2197613159,1975763831,1833598306,1998207047,1847108797,1696803962
Afghanistan,Exports of goods and services,169568189,219025578,261417625,328538366,452181838,476910532,628815368,650011392,688870768,737083515,683660064,694477434,720305693,748916612,763087576,767136640,788553962,707909500,649580451,603494904,584730231,625663196,742304872,636931539,557289356,928748572,968068865,1002031145,1036481658,1062228359,1075634889,986699459,1431422760,2124162791,1671333602,1723804300,1646178540,1553060124,1872343680,2664342464,3488178228,3458349374,3363529613,3750336193,3069135000
Afghanistan,Imports of goods and services,214319745,312696022,302155742,323236337,474314190,534042644,657012990,790523651,846738666,863547675,824809039,834425638,859250360,898896313,914332173,918344981,945099209,848035089,778104434,723051543,700488650,885386811,1165368626,1073793671,989733275,1716319745,1845985099,1959888007,2070261145,2159437371,2219810352,2126273335,2772064295,4419929300,4369583459,4874471401,5029315296,5220444248,5414162920,6622304698,7324223013,7876724299,8284745389,7876290497,7430000176
Afghanistan,Gross Domestic Product (GDP),6929847255,6910741007,5777295216,5944596821,6268756882,6657748956,7021805641,6667723112,7161443821,6976921940,6717593891,6862219149,7001857329,7345965702,7480616805,7500565116,7724983620,6932038239,6358524284,5909687276,5725165395,5099369505,5181698774,3888090899,3022555147,4531855989,4293013317,4072311063,3887479665,3698806736,3495246010,3296867078,5439744323,5887348821,6025242701,6621833827,7228470204,9197607691,8587560227,10066763501,10392535776,11294701243,12529192571,13340574767,13627213544
Afghanistan,"Agriculture, hunting, forestry, fishing (ISIC A-B)",4724759419,4544195365,4353599974,4674602737,4837249997,4999897258,5216760271,4656530819,4939657532,5078208901,5036041093,5192664381,5216760271,5331215751,5307119860,5276999997,5361335614,4343284244,4054133560,3891486299,1990096513,2464808480,2794180382,2400498226,2154466474,2895128259,2665847560,2458076463,2280887907,2109496555,1937654304,1707311036,2283719942,2361380787,2019835025,2266792856,2440582833,2957067942,2610689602,3219594513,2639476097,2763242355,2853076074,3089114889,3204678824
Afghanistan,"Mining, Manufacturing, Utilities (ISIC C-E)",639620831,669939192,700810965,732789565,806996103,884294581,905938154,939949484,1026523779,949225302,890478459,871926824,912122032,1004880205,1026523779,1119281952,1171844916,1153293282,1014156023,930673667,1192742549,1046089820,634646119,411351523,250778391,249081350,297021948,354673259,426203318,510471537,607223870,657470862,942270419,978006745,1024287324,1060539991,1096928538,1160194063,1186391643,1252293231,1315151117,1402358621,1496033992,1512910233,1475896640
